hanji,lomaji
好人,hó lâng
讀冊人,tha̍k-tsheh-lâng
中人,tiong-lâng
人毋管啦！,Lâng m̄-kuán--lah! 
伊人真好。,I lâng tsin hó. 
人無爽快,lâng bô sóng-khuài
入去,ji̍p--khì
入來,ji̍p--lâi
入被,ji̍p phuē
收入,siu-ji̍p
入數,ji̍p siàu
二八青春,jī pat tshing-tshun
八个人,peh ê lâng
鉸刀,ka-to
伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to. 
伊欲買一刀紙。,I beh bé tsi̍t to tsuá. 
𪜶頭家真𠢕共人刁。,In thâu-ke tsin gâu kā lâng tiau. 
刁故意,tiau-kòo-ì
刁工,tiau-kang
無力,bô la̍t
氣力,khuì-la̍t
力量,li̍k-liōng
財力,tsâi-li̍k
兵力,ping-li̍k
十个人,tsa̍p ê lâng
十全,tsa̍p-tsn̂g
十分,tsa̍p hun
人有十指,jîn iú si̍p tsí
十全十美,si̍p-tsuân-si̍p-bí
卜看覓咧！,Poh khuànn-māi--leh! 
我來卜一下仔卦咧。,Guá lâi pok tsi̍t-ē-á kuà--leh. 
食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! "
貓仔共鳥鼠掠了了矣。,Niau-á kā niáu-tshí lia̍h-liáu-liáu--ah. 
這个袂使，彼个毋通，全你的意見了了。,"Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu. "
十二分的感謝,tsa̍p-jī-hun ê kám-siā
時機誠䆀，害我十二生相變透透嘛變無撚。,"Sî-ki tsiânn bái, hāi guá tsa̍p-jī-senn-siùnn piàn-thàu-thàu mā piàn-bô-lián. "
分袂平，拍甲二九暝。,"Pun bē pênn, phah kah Jī-káu-mê. "
我才看你按怎十八變。,Guá tsiah khuànn lí án-tsuánn tsa̍p-peh-piàn. 
了工閣蝕本。,Liáu-kang koh si̍h-pún. 
這冬割稻仔愛偌濟人工才做會了？,Tsit tang kuah tiū-á ài guā-tsē lâng-kang tsiah tsò ē liáu? 
臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. 
恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. 
入土為安,ji̍p-thóo uî an
我刁工來看你。,Guá thiau-kang lâi khuànn--lí. 
你愈講，伊愈刁工。,"Lí jú kóng, i jú thiau-kang. "
人中長的人較長歲壽。,Jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. 
人有七孔。,Lâng ū tshit-khóng. 
伊是二手，毋是頭手。,"I sī jī-tshiú, m̄ sī thâu-tshiú. "
物件買二手的較俗。,Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k. 
八仙綵,pat-sian-tshái
你莫共伊刁古董。,Lí mài kā i tiau-kóo-tóng. 
較早的人認為飼查某囝了本，無予𪜶讀偌濟冊。,"Khah-tsá ê lâng jīn-uî tshī tsa-bóo-kiánn liáu-pún, bô hōo in tha̍k guā-tsē tsheh. "
人生短短,jîn-sing té-té
刀石提來磨刀仔。,To-tsio̍h the̍h-lâi buâ to-á. 
媠，媠無十全；䆀，䆀無加圇。,"Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g. "
十全大補湯,si̍p-tsuân tāi póo thng
十全十美,si̍p-tsuân-si̍p-bí
算命仙的講𪜶兩人的八字袂合。,Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē-ha̍h. 
七早八早，你就想欲歇睏？,"Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn? "
你講閣較濟伊嘛聽袂入耳。,Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní. 
食甲七老八老矣，猶閣毋認老。,"Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn lāu. "
你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn. "
對這件代誌伊閣有二步七仔！,Tuì tsit kiānn tāi-tsì i koh ū--jī-pōo-tshit-á! 
八角形,peh-kak hîng
睏飽了後，氣力十足。,"Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok. "
九芎仔柴,kiú-kiong-á-tshâ
人事室,jîn-sū sik
盡人事順天意。,Tsīn jîn-sū sūn thinn-ì. 
過年時仔攏會做一寡仔人事。,Kuè-nî sî-á lóng ē tsò tsi̍t-kuá-á jîn-sū. 
二房較𠢕出丁。,Jī-pâng khah gâu tshut-ting. 
伊娶二房。,I tshuā jī-pâng. 
大人物,tuā jîn-bu̍t
十花五色的人,tsa̍p-hue-gōo-sik ê lâng
我今仔入門，電話就來矣。,"Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah. "
我想欲趕緊共你娶入門。,Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g. 
學臺語，我拄入門。,"O̍h Tâi-gí, guá tú ji̍p-mn̂g. "
臺語入門,Tâi-gí ji̍p-mn̂g
咱愛好好仔招待人客。,Lán ài hó-hó-á tsiau-thāi lâng-kheh. 
店內人客真濟。,Tiàm-lāi lâng-kheh tsin tsē.
你出門了後，伊就醒矣。,"Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. "
七星陣,tshit-tshenn tīn
大姊昨昏無細膩去予玻璃幼仔割著二指。,Tuā-tsí tsa-hng bô-sè-jī khì hōo po-lê-iù-á kuah-tio̍h jī-tsáinn. 
伊是刁持欲佮我做對的。,I sī tiau-tî beh kah guá tsò-tuì--ê. 
我是刁持來看你的。,Guá sī tiau-tî lâi khuànn--lí--ê. 
伊刁故意欲講予你氣。,I tiau-kòo-ì beh kóng hōo lí khì. 
伊的人面真闊，共伊拜託就無毋著！,"I ê lâng-bīn tsin khuah, kā i pài-thok tō bô-m̄-tio̍h! "
做代誌愛重人倫義理。,Tsò tāi-tsì ài tiōng jîn-lûn gī-lí. 
公務人員,kong-bū jîn-uân
阮這單位的人員無夠，工課才會做袂完。,"Guán tsit tan-uī ê jîn-uân bô kàu, khang-khuè tsiah ē tsò bē uân. "
你當時欲入厝？,Lí tang-sî beh ji̍p-tshù? 
一戶人家,tsi̍t hōo jîn-ke
做人愛重人格。,Tsò-lâng ài tiōng jîn-keh. 
伊的人氣閣不止仔好。,I ê jîn-khì koh put-tsí-á hó. 
兩隊人馬佇街仔路相拄。,Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. 
伊昨暗入院矣。,I tsa-àm ji̍p-īnn--ah. 
做人情予伊。,Tsò-jîn-tsîng hōo--i. 
人情世事一大攤。,Jîn-tsîng-sè-sū tsi̍t tuā thuann. 
人情世事一大堆。,Jîn-tsîng-sè-sū tsi̍t tuā tui. 
有人望的人,ū jîn-bōng ê lâng
人造雨,jîn-tsō hōo
這枝刀的刀喙真利。,Tsit ki to ê to-tshuì tsin lāi. 
戲園五點才會使入場。,Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn. 
想著這款「親生囝，餓死爸」个代誌，實在真了然。,"Siūnn-tio̍h tsit khuán ""tshin-senn kiánn, gō-sí pē"" ê tāi-tsì, si̍t-tsāi tsin liáu-jiân. "
咱愛靠家己的力量行出咱家己的前途。,Lán ài khò ka-kī ê li̍k-liōng kiânn tshut lán ka-kī ê tsiân-tôo. 
伊毋是刁意故的。,I m̄ sī thiau-ì-kòo--ê. 
伊又閣來矣。,I iū-koh lâi--ah. 
規間厝恬恬無聲，連半个人影嘛無。,"Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô. "
阿母用九層塔煎卵真好食。,A-bú iōng káu-tsàn-thah tsian nn̄g tsin hó tsia̍h. 
伊的人範看起來袂䆀。,I ê lâng-pān khuànn--khí-lâi bē-bái. 
伊真有人緣。,I tsin ū-lâng-iân. 
我今年就欲入學去讀冊矣！,Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! 
伊彼幅圖有入選無？,I hit pak tôo ū ji̍p-suán--bô? 
伊做啥物生理攏了錢。,I tsò siánn-mih sing-lí lóng liáu-tsînn. 
這號物件都已經有矣，你閣欲買，加了錢的。,"Tsit-lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê. "
人頭熟,lâng-thâu si̍k
這間店是算人頭收錢的。,Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê. 
賣人頭,bē lâng-thâu
力頭真飽,la̍t-thâu tsin pá
無佮意就講，何乜苦共伊刁難？,"Bô kah-ì tō kóng, hô-mí-khóo kā i thiau-lân? "
三生有幸,sam-sing-iú-hīng
三隻狗,sann tsiah káu
上車,tsiūnn tshia
上路,tsiūnn-lōo
上桌,tsiūnn toh
上水,tshiūnn-tsuí
上青苔,tshiūnn tshenn-thî
水面上,tsuí-bīn-siōng
上好,siōng-hó
天跤下,thinn-kha-ē
拍三下,phah sann ē
驚一下,kiann tsi̍t-ē
下班,hā-pan
下課,hā-khò
下令,hā-līng
南下,lâm hā
下集,hā tsi̍p
下級,hā-kip
物件無位通下。,Mi̍h-kiānn bô uī thang hē. 
下鹽,hē iâm
乞食下大願。,Khit-tsia̍h hē tuā guān. 
懸低,kuân-kē
低音,kē-im
兩个人,nn̄g ê lâng
這个物件,tsit ê mi̍h-kiānn
魚丸,hî-uân
彼兩丸烏烏的物件是啥物？,Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih? 
伊離開真久矣。,I lī-khui tsin kú--ah. 
么二三,io jī sann
乞符仔,khit hû-á
這件代誌有也好，無也好，攏無要緊。,"Tsit kiānn tāi-tsì ū iā hó, bô iā hó, lóng bô-iàu-kín. "
傷亡,siong-bông
亡國,bông-kok
亡兄,bông-hing
新亡,sin-bông
傷亡,siong-bông
流亡,liû-bông
平凡,pîng-huân
凡事,huân sū
凡間,huān-kan
仙女下凡,sian-lú hā-huān
千千萬萬,tshian-tshian-bān-bān
一千箍,tsi̍t tshing khoo
開叉,khui tshe
竹篙叉,tik-ko-tshe
叉人的頷頸。,Tshe lâng ê ām-kún. 
拍叉做記號。,Phah tshe tsò kì-hō. 
用話叉人,īng uē tshe--lâng
店門口,tiàm mn̂g-kháu
一口井,tsi̍t kháu tsénn
一口劍,tsi̍t kháu kiàm
一家口,tsi̍t ke-kháu
一口灶,tsi̍t kháu-tsàu
土地,thóo-tē
伊的性地有影土。,I ê sìng-tē ū-iánn thóo. 
本土,pún-thóo
土博士,thóo phok-sū
博士,phok-sū
士農工商,sū lông kang siong
大官,ta-kuann
大家,ta-ke
大量,tāi-liōng
大德,tāi tik
阮大兄大我三歲。,Guán tuā-hiann tuā guá sann huè. 
大紅,tuā-âng
大人,tuā-lâng
大昨日,tuā-tso̍h--ji̍t
大後日,tuā-āu--ji̍t
大伯,tuā-peh
囡仔會大，早慢是愛離開。,"Gín-á ē tuā, tsá-bān sī ài lī-khui. "
婦女,hū-lí
女權,lú khuân
銃子,tshìng-tsí
果子,kué-tsí
菜子,tshài-tsí
烏魚子,oo-hî-tsí
公子,kong tsú
孝子,hàu-tsú
孔子公,Khóng-tsú-kong
女子,lú-tsú
男子,lâm-tsú
子弟,tsú-tē
弟子,tē-tsú
子丑寅卯,tsú thiú în báu
甲子年,kah-tsú nî
子時,tsú-sî
面子,bīn-tsú
棋子,kî-jí
算盤子,sǹg-puânn-jí
一子弓蕉,tsi̍t jí king-tsio
陰鴆鴆，咬人三寸深。,"Im-thim-thim, kā lâng sann tshùn tshim. "
寸步難行,tshùn pōo lân hîng
小寒,siáu-hân
小女,siáu lú
小湧,sió íng
小可,sió-khuá
小叔仔,sió-tsik-á
阿里山,A-lí-san
懸山,kuân suann
上山落船,tsiūnn suann lo̍h tsûn
山園,suann-hn̂g
山地,suann-tē
我一禮拜愛上班五工。,Guá tsi̍t lé-pài ài siōng-pan gōo kang. 
勞工,lô-kang
工人,kang-lâng
木工,ba̍k-kang
工程,kang-tîng
伊刻這粒印仔真了工。,I khik tsit lia̍p ìn-á tsin liáu-kang. 
我無彼號閒工佮你開講。,Guá bô hit-lō îng-kang kah lí khai-káng. 
工尺,kong-tshe
安份守己,an-hūn-siú-kí
自己,tsū-kí
巳時,tsī-sî
面巾,bīn-kin
手巾仔,tshiú-kin-á
干戈,kan ko
天干,thian kan
干你啥物代誌？,Kan lí siánn-mih tāi-tsì? 
干涉,kan-sia̍p
干犯,kan huān
弓箭,king tsìnn
衫弓仔,sann-king-á
弓蕉,king-tsio
弓大豬,king tuā ti
大步弓,tuā pōo king
一弓弓蕉,tsi̍t king king-tsio
才調,tsâi-tiāu
無才,bô-tsâi
將才,tsiòng-tsâi
秀才,siù tsâi
奴才,lôo-tsâi
這馬我才知影伊是騙我的。,Tsit-má guá tsiah tsai-iánn i sī phiàn--guá ê. 
伊才十七歲爾爾，袂使啉酒。,"I tsiah tsa̍p-tshit huè niā-niā, bē-sái lim tsiú. "
我才無欲相信你講的話！,Guá tsiah bô beh siong-sìn lí kóng ê uē! 
後擺我才共你講。,Āu pái guá tsiah kā lí kóng. 
電影看煞才來去食飯。,Tiān-iánn khuànn-suah tsiah lâi-khì tsia̍h pn̄g. 
這款木材一才偌濟？,Tsit khuán bo̍k-tsâi tsi̍t tshâi guā-tsē? 
阮丈人明仔載欲起來臺北。,Guán tiūnn-lâng bîn-á-tsài beh khí-lâi Tâi-pak. 
三八人,sam-pat lâng
伊是一个土人，講話較凊彩，你毋通佮伊計較。,"I sī tsi̍t ê thóo-lâng, kóng-uē khah tshìn-tshái, lí m̄-thang kah i kè-kàu. "
警察大人,kíng-tshat tāi-jîn
大人儉一喙，囡仔食甲飫。,"Tuā-lâng khiām tsi̍t tshuì, gín-á tsia̍h kah uì. "
囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。,"Gín-á iáu-koh sè-hàn, lí m̄-thang kā phah kah hiah-nī-á tuā-la̍t. "
對臺北坐飛機到高雄上久是一點鐘。,Tuì Tâi-pak tsē hui-ki kàu Ko-hiông siōng kú sī tsi̍t tiám-tsing. 
頂禮拜阮一陣人上山去看風景。,Tíng lé-pài guán tsi̍t tīn lâng tsiūnn-suann khì khuànn hong kíng. 
我欲準備下山矣。,Guá beh tsún-pī hā-san--ah. 
伊久久才來一擺。,I kú-kú tsiah lâi tsi̍t pái. 
伊拍一下傷大下，箠仔煞斷去。,"I phah tsi̍t-ē siunn tuā-ē, tshuê-á suah tn̄g--khì. "
伊真小口，食袂濟。,"I tsin sió-kháu, tsia̍h bē tsē. "
男子漢大丈夫,lâm-tsú-hàn tāi-tiōng-hu
干干仔欲去,kan-kan-á beh khì
山頂的暗暝，會使看著千千萬萬粒星。,"Suann-tíng ê àm-mê, ē-sái khuànn-tio̍h tshian-tshian-bān-bān lia̍p tshenn. "
姑婆的翁我愛叫伊「丈公」。,"Koo-pô ê ang guá ài kiò i ""tiūnn-kong"". "
這馬下勻的少年人，想法佮阮往過攏無仝。,"Tsit-má ē-ûn ê siàu-liân lâng, siūnn-huat kah guán íng-kuè lóng bô-kāng. "
大不了予人罵罵咧爾爾。,Tāi-put-liáu hōo lâng mē-mē--leh niā-niā. 
伊三不五時就來阮兜行踏。,I sam-put-gōo-sî tō lâi guán tau kiânn-ta̍h. 
你這款土公仔性著愛改啦！,Lí tsit khuán thóo-kong-á-sìng tio̍h-ài kái--lah! 
伊就是彼款土公仔性，你莫佮伊計較。,"I tō sī hit khuán thóo-kong-á-sìng, lí mài kah i kè-kàu. "
請上天保庇咱臺灣會當安定佮富裕。,Tshiánn siōng-thian pó-pì lán Tâi-uân ē-tàng an-tīng kah hù-jū. 
彼項工夫伊已經學上手矣。,Hit hāng kang-hu i í-king o̍h tsiūnn-tshiú--ah. 
諞仙仔錢諞上手就溜旋矣。,Pián-sian-á tsînn pián tsiūnn-tshiú tō liu-suan--ah. 
彼口井敢閣有咧上水？,Hit kháu tsénn kám koh ū teh tshiūnn-tsuí? 
先下手為強,sing hē-tshiú uî kiông
下水湯,hā-suí thng
下水路,hā-suí lōo
伊出手真大方，攏袂凍霜。,"I tshut-tshiú tsin tāi-hong, lóng bē tàng-sng. "
伊今仔日的穿插看起來真大方。,I kin-á-ji̍t ê tshīng-tshah khuànn--khí-lâi tsin tāi-hong. 
今仔日是大日，真濟人嫁娶。,"Kin-á-ji̍t sī tuā-ji̍t, tsin tsē lâng kè-tshuā. "
運動會閣拄著出大日，逐家一定會曝甲烏趖趖。,"Ūn-tōng-huē koh tú-tio̍h tshut tuā-ji̍t, ta̍k-ke it-tīng ē pha̍k kah oo-sô-sô. "
你若欲做衫，愛先量寸尺。,"Lí nā beh tsò sann, ài sing niû tshùn-tshioh. "
囡仔人騎車愛小心，毋通騎傷緊。,"Gín-á-lâng khiâ tshia ài sió-sim, m̄-thang khiâ siunn kín. "
舊曆的小月干焦二十九工爾爾。,Kū-li̍k ê sió-gue̍h kan-na jī-tsa̍p-káu-kang niā-niā. 
這個月是小月，來阮店交關的人客有較少。,"Tsit kò gue̍h sī sió-gue̍h, lâi guán tiàm kau-kuan ê lâng-kheh ū khah tsió. "
伊是做小木的。,I sī tsò sió-ba̍k--ê. 
這馬練工夫真時行。,Tsit-má liān kang-hu tsin sî-kiânn. 
這條手巾仔做了有夠工夫。,Tsit tiâu tshiú-kin-á tsò liáu ū-kàu kang-hu. 
伊的工夫袂䆀。,I ê kang-hu bē-bái. 
做這條椅仔愛用真濟工夫。,Tsò tsit liâu í-á ài īng tsin tsē kang-hu. 
咱攏是熟似人，毋免遐工夫。,"Lán lóng sī si̍k-sāi-lâng, m̄-bián hiah kang-hu. "
這个工事工夫真大。,Tsit ê kang-sū kang-hu tsin tuā. 
你做代誌毋通三心兩意。,Lí tsò tāi-tsì m̄-thang sam-sim-lióng-ì. 
伊拍球拍甲大心氣。,I phah-kiû phah kah tuā-sim-khuì. 
你閣會曉西瓜倚大爿，知影欲綴阮行。,"Lí koh ē-hiáu si-kue uá tuā-pîng, tsai-iánn beh tuè guán kiânn. "
你的年歲比我較濟，大爿讓予你坐。,"Lí ê nî-huè pí guá khah tsē, tuā-pîng niū hōo lí tsē. "
冊愛用巾仔包咧。,Tsheh ài īng kin-á pau--leh. 
啥人叫你大主大意做這件代誌？,Siánn-lâng kiò lí tuā-tsú-tuā-ì tsò tsit kiānn tāi-tsì? 
這毋是啥物大代誌。,Tse m̄ sī siánn-mih tuā tāi-tsì. 
遮的上加是兩百箍。,Tsia-ê siōng-ke sī nn̄g pah khoo. 
上北的火車,tsiūnn-pak ê hué-tshia
小可仔錢嘛是錢，該儉著愛儉。,"Sió-khuá-á tsînn mā sī tsînn, kai khiām tio̍h ài khiām. "
大四界滿滿是。,Tuā-sì-kè muá-muá-sī. 
伊攏愛等甲下半暝才睏會落眠。,I lóng ài tán kah ē-puànn-mê tsiah khùn ē lo̍h-bîn. 
股票上市,kóo-phiò tsiūnn-tshī
做生理愛敢下本，才會成功。,"Tsò-sing-lí ài kánn hē-pún, tsiah ē sîng-kong. "
大本山芹菜,tuā-pún suann-khîn-tshài
伊是這个歌仔戲班的小旦。,I sī tsit ê kua-á-hì pan ê sió-tuànn. 
伊看乞食無上目。,I khuànn khit-tsia̍h bô tsiūnn-ba̍k. 
伊隨上台就袂記得愛唸口白。,I suî tsiūnn-tâi tō bē-kì-tit ài liām kháu-pe̍h. 
大目新娘揣無灶。,Tuā-ba̍k sin-niû tshuē bô tsàu. 
彼个小生真緣投。,Hit ê sió-sing tsin iân-tâu. 
伊明仔載欲上任矣。,I bîn-á-tsài beh tsiūnn-jīm--ah. 
我無欲放伊干休。,Guá bô beh pàng i kan-hiu. 
伊的大名，大部份的人攏知。,"I ê tuā-miâ, tuā-pōo-hūn ê lâng lóng tsai. "
踮厝內，大囝的責任較重。,"Tiàm tshù-lāi, tuā-kiánn ê tsik-jīm khah tāng. "
你這个臭小囝，哪會無代無誌共人拍？,"Lí tsit ê tshàu sió-kiánn, ná ē bô-tāi-bô-tsì kā lâng phah? "
彼个唱歌唱上好的人，是阮姊仔。,"Hit ê tshiùnn kua tshiùnn siōng hó ê lâng, sī guán tsí--á. "
這件代誌你上好是莫管。,Tsit kiānn tāi-tsì lí siōng-hó sī mài kuán. 
有也好，無也好。,"Ū iā-hó, bô iā-hó. "
生理人初二、十六攏有拜土地公。,"Sing-lí-lâng tshe-jī, tsa̍p-la̍k lóng ū pài Thóo-tī-kong. "
下早仔去較袂熱。,E-tsái-á khì khah bē jua̍h. 
下早仔伊有來揣你。,E-tsái-á i ū lâi tshuē--lí. 
伊是一个大耳豬。,I sī tsi̍t ê tuā-hīnn ti. 
伊真正是大舌閣興喋。,I tsin-tsiànn sī tuā-tsi̍h koh hìng thi̍h. 
母舅坐大位。,Bú-kū tsē tuā-uī. 
好田地不如好子弟。,Hó tshân-tē put-jû hó tsú-tē. 
恁小弟今年幾歲矣？,Lín sió-tī kin-nî kuí huè--ah? 
小弟真歡喜來到貴寶地。,Sió-tī tsin huann-hí lâi-kàu kuì pó-tē. 
請問這位小弟按怎稱呼？,Tshiánn-mn̄g tsit uī sió-tī án-tsuánn tshing-hoo? 
我欲去廟埕看子弟戲。,Guá beh khì biō-tiânn khuànn tsú-tē-hì. 
三更半暝,sann-kenn-puànn-mê
伊昨昏三更半暝才轉來。,I tsa-hng sann-kenn-puànn-mê tsiah tńg--lâi. 
這个庄頭無偌大，蹛無幾口灶。,"Tsit ê tsng-thâu bô guā tuā, tuà bô kuí kháu-tsàu. "
伊有一个大肚胿，做啥物代誌攏真無方便。,"I ū tsi̍t ê tuā-tōo-kui, tsò siánn-mih tāi-tsì lóng tsin bô hong-piān. "
伊親像大肚胿，一頓會當食六碗飯。,"I tshin-tshiūnn tuā-tōo-kui, tsi̍t tǹg ē-tàng tsia̍h la̍k uánn pn̄g. "
你揹一个大肚胿，閣遐愛拋拋走。,"Lí phāinn tsi̍t ê tuā-tōo-kui, koh hiah ài pha-pha-tsáu. "
三角銀,sann-kak gîn
陳的！真久見！近來攏咧無閒啥？,Tân--ê! Tsin kiú-kiàn! Kīn-lâi lóng teh bô-îng siánn? 
三角窗的厝來做店面上好。,Sann-kak-thang ê tshù lâi tsò tiàm-bīn siōng hó. 
伊上愛提千里鏡看較遠的風景。,I siōng ài the̍h tshian-lí-kiànn khuànn khah hn̄g ê hong-kíng. 
