"hanji","lomaji"
"一錢，二緣，三媠，四少年。","It tshiân, jī iân, sann suí, sì siàu-liân."
"一霎仔久","tsi̍t-tiap-á-kú"
"一點仔","tsi̍t-tiám-á"
"一礐屎","tsi̍t-ha̍k-sái"
"一邊","tsi̍t-pinn"
"一觸久仔","tsi̍t-tak-kú-á"
"一體","it-thé"
"乙","it"
"丁","ting"
"丁","Ting"
"七","tshit"
"七夕","tshit-sia̍h"
"七孔","tshit-khóng"
"七月半","Tshit-ge̍h-puànn"
"七月半","Tshit-gue̍h-puànn"
"七月半鴨仔，毋知死活。","Tshit-gue̍h-puànn ah-á, m̄ tsai sí-ua̍h."
"七仔較興八仔。","Tshit--á khah hìng peh--á."
"七字仔","tshit-jī-á"
"七字仔","tshit-lī-á"
"七早八早","tshit-tsá-peh-tsá"
"七早八早","tshit-tsá-pueh-tsá"
"七老八老","tshit-lāu-peh-lāu"
"七老八老","tshit-lāu-pueh-lāu"
"七坐八爬九發牙。","Tshit tsē peh pê káu huat-gê."
"七里香","tshit-lí-hiong"
"七股區","Tshit-kóo-khu"
"七股寮","Tshit-kóo-liâu"
"七星","tshit-tshenn"
"七星","tshit-tshinn"
"七星山","Tshit-tshenn-suann"
"七星山","Tshit-tshinn-suann"
"七美鄉","Tshit-bí-hiong"
"七娘媽","Tshit-niû-má"
"七娘媽生","Tshit-niû-má-senn"
"七娘媽生","Tshit-niû-má-sinn"
"七晏八晏","tshit-uànn-peh-uànn"
"七晏八晏","tshit-uànn-pueh-uànn"
"七堵","Tshit-tóo"
"七堵區","Tshit-tóo-khu"
"七張","Tshit-tiunn"
"七爺","Tshit-iâ"
"七爺八爺","Tshit-iâ Peh-iâ"
"七爺八爺","Tshit-iâ Pueh-iâ"
"乜","mí"
"九","káu"
"九","Káu"
"九","kiú"
"九孔","káu-kháng"
"九月重陽","Káu--ge̍h Tiông-iông"
"九月重陽","Káu--gue̍h Tiông-iông"
"九月颱，無人知。","Káu-gue̍h thai, bô lâng tsai."
"九份二山","Káu-hūn-jī-suann"
"九如鄉","Kiú-jû-hiong"
"九曲堂","Kiú-khiok-tông"
"九芎仔","kiú-kiong-á"
"九芎仔柴","kiú-kiong-á-tshâ"
"九芎仔樹","kiú-kiong-á-tshiū"
"九芎林","Kiú-kiong-nâ"
"九降風","káu-kàng-hong"
"九張犁","Káu-tiunn-lê"
"九塊厝","Káu-tè-tshù"
"九層塔","káu-tsàn-thah"
"九德","Kiú-tik"
"九讚頭","Káu-tsàn-thâu"
"二","jī"
"二","lī"
"二九暝","Jī-káu-mê"
"二九暝","Lī-káu-mî"
"二二八公園","Jī-jī-pat Kong-hn̂g"
"二八水","Jī-pat-tsuí"
"二仁溪","Jī-jîn-khe"
"二手","jī-tshiú"
"二手","lī-tshiú"
"二手貨","jī-tshiú-huè"
"二手貨","lī-tshiú-hè"
"二水","Jī-tsuí"
"二水鄉","Jī-tsuí-hiong"
"二竹圍","Jī-tik-uî"
"二步七仔","jī-pōo-tshit-á"
"二步七仔","lī-pōo-tshit-á"
"二房","jī-pâng"
"二房","lī-pâng"
"二林鎮","Jī-lîm-tìn"
"二指","jī-tsáinn"
"二指","lī-tsáinn"
"二氧化碳","jī-ióng-huà-thuànn"
"二崙仔","Jī-lūn-á"
"二崙鄉","Jī-lūn-hiong"
"二結","Jī-kiat"
"二萬坪","Jī-bān-pênn"
"人","jîn"
"人","Jîn"
"人","lâng"
"人","lîn"
"人","Lîn"
"人人","lâng-lâng"
"人力","jîn-li̍k"
"人力","lîn-li̍k"
"人口","jîn-kháu"
"人口","lîn-kháu"
"人士","jîn-sū"
"人士","lîn-sū"
"人工","lâng-kang"
"人才","lâng-tsâi"
"人中","jîn-tiong"
"人中","lîn-tiong"
"人心","jîn-sim"
"人心","lîn-sim"
"人心肝，牛腹肚。","Lâng sim-kuann, gû pak-tóo."
"人文","jîn-bûn"
"人文","lîn-bûn"
"人世","jîn-sè"
"人世","lîn-sè"
"人未到，聲先到。","Lâng buē kàu, siann sing kàu."
"人民","jîn-bîn"
"人民","lîn-bîn"
"人生","jîn-sing"
"人生","lîn-sing"
"人次","jîn-tshù"
"人次","lîn-tshù"
"人身","jîn-sin"
"人身","lîn-sin"
"人事","jîn-sū"
"人事","lîn-sū"
"人事局","Jîn-sū-kio̍k"
"人事局","Lîn-sū-kio̍k"
"人命","lâng-miā"
"人和","jîn-hô"
"人和","lîn-hô"
"人性","jîn-sìng"
"人性","lîn-sìng"
"人物","jîn-bu̍t"
"人物","lîn-bu̍t"
"人的喙，掩袂密。","Lâng ê tshuì, am bē ba̍t."
"人若衰，種匏仔生菜瓜。","Lâng nā sue, tsìng pû-á senn tshài-kue."
"人兩跤，錢四跤。","Lâng nn̄g kha, tsînn sì kha."
"人咧做，天咧看。","Lâng teh tsò, thinn teh khuànn."
"人客","lâng-kheh"
"人為","jîn-uî"
"人為","lîn-uî"
"人面","lâng-bīn"
"人員","jîn-uân"
"人員","lîn-uân"
"人家","jîn-ke"
"人家","lîn-ke"
"人家厝仔","jîn-ke-tshù-á"
"人家厝仔","lîn-ke-tshù-á"
"人格","jîn-keh"
"人格","lîn-keh"
"人氣","jîn-khì"
"人氣","lîn-khì"
"人造","jîn-tsō"
"人造","lîn-tsō"
"人馬","jîn-má"
"人馬","lîn-má"
"人倫","jîn-lûn"
"人倫","lîn-lûn"
"人情","jîn-tsîng"
"人情","lîn-tsîng"
"人情世事","jîn-tsîng-sè-sū"
"人情世事","lîn-tsîng-sè-sū"
"人情世事陪到到，無鼎閣無灶。","Jîn-tsîng-sè-sū puê kàu-kàu, bô tiánn koh bô tsàu."
"人情留一線，日後好相看。","Jîn-tsîng lâu tsi̍t suànn, ji̍t-āu hó sio-khuànn."
"人望","jîn-bōng"
"人望","lîn-bōng"
"人牽毋行，鬼牽溜溜行。","Lâng khan m̄ kiânn, kuí khan liù-liù-kiânn."
"人參","jîn-sim"
"人參","lîn-sim"
"人無照天理，天無照甲子。","Lâng bô tsiàu thinn-lí, thinn bô tsiàu kah-tsí."
"人道","jîn-tō"
"人道","lîn-tō"
"人間","jîn-kan"
"人間","lîn-kan"
"人群","jîn-kûn"
"人群","lîn-kûn"
"人際","jîn-tsè"
"人際","lîn-tsè"
"人飼人，一支骨；天飼人，肥朒朒。","Lâng tshī lâng, tsi̍t ki kut; thinn tshī lâng, puî-tsut-tsut."
"人壽","jîn-siū"
"人壽","lîn-siū"
"人種","jîn-tsióng"
"人種","lîn-tsióng"
"人影","lâng-iánn"
"人潮","jîn-tiâu"
"人潮","lîn-tiâu"
"人範","lâng-pān"
"人緣","lâng-iân"
"人質","jîn-tsit"
"人質","lîn-tsit"
"人選","jîn-suán"
"人選","lîn-suán"
"人數","jîn-sòo"
"人數","lîn-sòo"
"人頭","lâng-thâu"
"人濟話就濟，三色人講五色話。","Lâng tsē uē tō tsē, sam sik lâng kóng ngóo sik uē."
"人額","lâng-gia̍h"
"人類","jîn-luī"
"人類","lîn-luī"
"人懸漢大","lâng-kuân-hàn-tuā"
"人權","jîn-khuân"
"人權","lîn-khuân"
"人體","jîn-thé"
"人體","lîn-thé"
"入","ji̍p"
"入","li̍p"
"入人門，順人意。","Ji̍p lâng mn̂g, sūn lâng ì."
"入口","ji̍p-kháu"
"入口","li̍p-kháu"
"入土","ji̍p-thóo"
"入土","li̍p-thóo"
"入心","ji̍p-sim"
"入心","li̍p-sim"
"入木","ji̍p-bo̍k"
"入木","li̍p-bo̍k"
"入主","ji̍p-tsú"
"入主","li̍p-tsú"
"入去","ji̍p-khì"
"入去","li̍p-khì"
"入伍","ji̍p-ngóo"
"入伍","li̍p-ngóo"
"入耳","ji̍p-ní"
"入耳","li̍p-ní"
"入股","ji̍p-kóo"
"入股","li̍p-kóo"
"入虎口，無死也烏漚。","Ji̍p hóo kháu, bô sí iā oo-áu."
"入門","ji̍p-mn̂g"
"入門","li̍p-mn̂g"
"入來","ji̍p-lâi"
"入來","li̍p-lâi"
"入侵","ji̍p-tshim"
"入侵","li̍p-tshim"
"入院","ji̍p-īnn"
"入院","li̍p-īnn"
"入厝","ji̍p-tshù"
"入厝","li̍p-tshù"
"入教","ji̍p-kàu"
"入教","li̍p-kàu"
"入圍","ji̍p-uî"
"入圍","li̍p-uî"
"入場","ji̍p-tiûnn"
"入場","li̍p-tiûnn"
"入會","ji̍p-huē"
"入會","li̍p-huē"
"入境","ji̍p-kíng"
"入境","li̍p-kíng"
"入獄","ji̍p-ga̍k"
"入獄","li̍p-ga̍k"
"入選","ji̍p-suán"
"入選","li̍p-suán"
"入學","ji̍p-o̍h"
"入學","li̍p-o̍h"
"入聲","ji̍p-siann"
"入聲","li̍p-siann"
"入殮","ji̍p-liām"
"入殮","li̍p-liām"
"八","pat"
"八","peh"
"八","pueh"
"八斗子","Peh-táu-á"
"八月半","Peh-gue̍h-puànn"
"八月半","Pueh-ge̍h-puànn"
"八仙","pat-sian"
"八仙桌","pat-sian-toh"
"八仙綵","pat-sian-tshái"
"八字","peh-jī"
"八字","pueh-lī"
"八字跤","pat-jī-kha"
"八字跤","pat-lī-kha"
"八芝蘭","Pat-tsi-lân"
"八角","peh-kak"
"八角","pueh-kak"
"八里坌","Pat-lí-hun"
"八里區","Pat-lí-khu"
"八卦","pat-kuà"
"八卦山","Pat-kuà-suann"
"八珍","pat-tin"
"八家將","pat-ka-tsiòng"
"八通關大山","Pat-thong-kuan-tuā-suann"
"八堵","Peh-tóo"
"八塊厝","Peh-tè-tshù"
"八掌溪","Pat-tsiáng-khe"
"八德區","Pat-tik-khu"
"刀","to"
"刀仔","to-á"
"刀石","to-tsio̍h"
"刀肉","to-bah"
"刀具","to-kū"
"刀柄","to-pènn"
"刀柄","to-pìnn"
"刀砧","to-tiam"
"刀喙","to-tshuì"
"刀銎","to-khing"
"刀鋩","to-mê"
"刀鋩","to-mî"
"刁","thiau"
"刁","tiau"
"刁","Tiau"
"刁工","thiau-kang"
"刁古董","tiau-kóo-tóng"
"刁持","tiau-tî"
"刁故意","tiau-kòo-ì"
"刁意故","thiau-ì-kòo"
"刁難","thiau-lân"
"十","si̍p"
"十","tsa̍p"
"十一哥","tsa̍p-it-ko"
"十二分","tsa̍p-jī-hun"
"十二分","tsa̍p-lī-hun"
"十二月食菜頭，六月才轉嗽。","Tsa̍p-jī-gue̍h tsia̍h tshài-thâu, la̍k-gue̍h tsiah tńg-sàu."
"十二生相","tsa̍p-jī senn-siùnn"
"十二生相","tsa̍p-lī sinn-siùnn"
"十二生相變透透。","Tsa̍p-jī senn-siùnn pìnn-thàu-thàu."
"十二指腸","si̍p-jī-tsí-tn̂g"
"十二指腸","si̍p-lī-tsí-tn̂g"
"十八王公廟","Tsa̍p-peh-ông-kong-biō"
"十八仔","si̍p-pat-á"
"十八骰仔","si̍p-pat-tâu-á"
"十八變","tsa̍p-peh-piàn"
"十八變","tsa̍p-pueh-piàn"
"十分","Tsa̍p-hūn"
"十四張","Tsa̍p-sì-tiunn"
"十全","si̍p-tsuân"
"十全","tsa̍p-tsn̂g"
"十囝十新婦，賰一个老寡婦。","Tsa̍p kiánn tsa̍p sin-pū, tshun tsi̍t ê lāu kuá-hū."
"十字架","si̍p-jī-kè"
"十字架","si̍p-lī-kè"
"十字路","si̍p-jī-lōo"
"十字路","Si̍p-jī-lōo"
"十字路","si̍p-lī-lōo"
"十花五色","tsa̍p-hue-gōo-sik"
"十足","tsa̍p-tsiok"
"十指伸出，無平長。","Tsa̍p tsáinn tshun-tshut, bô pênn tn̂g."
"十喙九尻川。","Tsa̍p tshuì káu kha-tshng."
"卜","poh"
"卜","Poh"
"卜","pok"
"卜卦","pok-kuà"
"又","iū"
"又閣","iū-koh"
"力","la̍t"
"力","lí"
"力","li̍k"
"力草","la̍t-tsháu"
"力量","li̍k-liōng"
"力學","li̍k-ha̍k"
"力頭","la̍t-thâu"
"了","liáu"
"了了","liáu-liáu"
"了了","liáu-liáu"
"了工","liáu-kang"
"了不起","liáu-put-khí"
"了本","liáu-pún"
"了尾仔囝","liáu-bé-á-kiánn"
"了尾仔囝","liáu-bué-á-kiánn"
"了後","liáu-āu"
"了然","liáu-jiân"
"了然","liáu-liân"
"了結","liáu-kiat"
"了解","liáu-kái"
"了錢","liáu-tsînn"
"了錢生理無人做，刣頭生理有人做。","Liáu-tsînn sing-lí bô lâng tsò, thâi-thâu sing-lí ū lâng tsò."
"丈","tiōng"
"丈","tiūnn"
"丈","tn̄g"
"丈人","tiūnn-lâng"
"丈人公","tiūnn-lâng-kong"
"丈人爸","tiūnn-lâng-pâ"
"丈人媽","tiūnn-lâng-má"
"丈公","tiūnn-kong"
"丈姆","tiūnn-ḿ"
"丈姆婆","tiūnn-ḿ-pô"
"三","sam"
"三","sàm"
"三","sann"
"三七仔","sam-tshit-á"
"三人共五目，日後無長短跤話。","Sann lâng kāng gōo ba̍k, ji̍t-āu bô tn̂g-té-kha-uē."
"三八","sam-pat"
"三八氣","sam-pat-khuì"
"三叉河","Sam-tshe-hô"
"三山國王","Sam-san-kok-ông"
"三山國王廟","Sam-san-kok-ông-biō"
"三分人，七分妝。","Sann hun lâng, tshit hun tsng."
"三太子","Sam-thài-tsú"
"三心兩意","sam-sim-lióng-ì"
"三文魚","sam-bûn-hî"
"三文魚","sam-bûn-hû"
"三日無餾，𬦰上樹。","Sann ji̍t bô liū, peh-tsiūnn tshiū."
"三不五時","sam-put-gōo-sî"
"三不等","sam-put-tíng"
"三代粒積，一代窮空。","Sann tāi lia̍p-tsik, tsi̍t tāi khîng-khong."
"三民","Sam-bîn"
"三民高中","Sam-bîn Ko-tiong"
"三民區","Sam-bîn-khu"
"三地門鄉","Sam-tē-mn̂g-hiong"
"三多商圈","Sam-to Siong-khuan"
"三百六十行，行行出狀元。","Sann-pah la̍k-tsa̍p hâng, hâng-hâng tshut tsiōng-guân."
"三芝區","Sam-tsi-khu"
"三年一閏，好歹照輪。","Sann nî tsi̍t jūn, hó-pháinn tsiàu lûn."
"三坑仔","Sann-khenn-á"
"三角","sann-kak"
"三角六肩","sann-kak-la̍k-king"
"三角店","Sann-kak-tiàm"
"三角肩","sann-kak-king"
"三角湧","Sann-kak-íng"
"三角窗","sann-kak-thang"
"三角褲","sann-kak-khòo"
"三更","sann-kenn"
"三更","sann-kinn"
"三更半暝","sann-kenn-puànn-mê"
"三更半暝","sann-kinn-puànn-mî"
"三和國中","Sam-hô Kok-tiong"
"三姓橋","Sam-sìng-kiô"
"三肢手","sann-ki-tshiú"
"三長兩短","sann-tn̂g-nn̄g-té"
"三思","sàm-su"
"三星鄉","Sam-sing-hiong"
"三牲","sam-sing"
"三界公","Sam-kài-kong"
"三界娘仔","sam-kài-niû-á"
"三軍","sam-kun"
"三重埔","Sann-tîng-poo"
"三重區","Sam-tiông-khu"
"三重國小","Sam-tiông Kok-sió"
"三除四扣","sann-tû-sì-khàu"
"三峽河","Sam-kiap-hô"
"三峽區","Sam-kiap-khu"
"三時有陣","sam-sî-iú-tsūn"
"三通","sam-thong"
"三國","Sam-kok"
"三教","sam-kàu"
"三絃","sam-hiân"
"三塊厝","Sann-tè-tshù"
"三貂嶺","Sam-tiau-niá"
"三溫暖","sam-un-luán"
"三義","Sam-gī"
"三義鄉","Sam-gī-hiong"
"三跤步一坎店。","Sann kha-pōo tsi̍t khám tiàm."
"三跤馬","sann-kha-bé"
"三跤貓","sann-kha-niau"
"三頓","sann tǹg"
"三層","sam-tsân"
"三層肉","sam-tsân-bah"
"三線路","sam-suànn-lōo"
"三輪車","sann-lián-tshia"
"三講，四毋著。","Sann kóng, sì m̄-tio̍h."
"三灣鄉","Sam-uan-hiong"
"上","siāng"
"上","sióng"
"上","siōng"
"上","tshiūnn"
"上","tsiūnn"
"上下","siōng-hā"
"上久","siōng-kú"
"上山","tsiūnn-suann"
"上山看山勢，入門看人意。","Tsiūnn-suann khuànn suann-sì, ji̍p-mn̂g khuànn lâng ì."
"上山頭","tsiūnn-suann-thâu"
"上元","Siōng-guân"
"上元暝","Siōng-guân-mê"
"上元暝","Siōng-guân-mî"
"上升","siōng-sing"
"上午","siōng-ngóo"
"上天","siōng-thian"
"上尺工","siāng-tshe-kong"
"上手","tsiūnn-tshiú"
"上水","tshiūnn-tsuí"
"上加","siōng-ke"
"上卌袂攝","tsiūnn-siap-bē-liap"
"上卌袂攝","tsiūnn-siap-buē-liap"
"上台","tsiūnn-tâi"
"上市","tsiūnn-tshī"
"上目","tsiūnn-ba̍k"
"上北","tsiūnn-pak"
"上任","tsiūnn-jīm"
"上任","tsiūnn-līm"
"上好","siōng hó"
"上尾","siōng-bé"
"上尾","siōng-bué"
"上車","tsiūnn-tshia"
"上坪溪","Siōng-pîng-khe"
"上官","Siōng-kuan"
"上岸","tsiūnn-huānn"
"上青苔","tshiūnn-tshenn-thî"
"上青苔","tshiūnn-tshinn-thî"
"上帝","Siōng-tè"
"上帝公","Siōng-tè-kong"
"上員","Siōng-guân"
"上師","siōng-su"
"上校","siōng-hāu"
"上桌","tsiūnn-toh"
"上班","siōng-pan"
"上陸","tsiūnn-lio̍k"
"上將","siōng-tsiòng"
"上崎","tsiūnn-kiā"
"上教","tsiūnn-kà"
"上場","tsiūnn-tiûnn"
"上殕","tshiūnn-phú"
"上無","siōng-bô"
"上童","tsiūnn-tâng"
"上等","siōng-tíng"
"上訴","siōng-sòo"
"上腳","tsiūnn-kioh"
"上蓋","siōng-kài"
"上路","tsiūnn-lōo"
"上網","tsiūnn-bāng"
"上緊","siōng kín"
"上課","siōng-khò"
"上踏枋，上眠床，無洗跤睏中央。","Tsiūnn ta̍h-pang, tsiūnn bîn-tshn̂g, bô sé kha khùn tiong-ng."
"上頭仔","siōng-thâu-á"
"上濟","siōng tsē"
"上濟","siōng tsuē"
"上聲","sióng-siann"
"上櫃","tsiūnn-kuī"
"上轎才欲放尿。","Tsiūnn kiō tsiah beh pàng-jiō."
"下","e"
"下","ē"
"下","hā"
"下","hē"
"下山","hā-san"
"下元","Hā-guân"
"下勻","ē-ûn"
"下午","hā-ngóo"
"下手","ē-tshiú"
"下手","hē-tshiú"
"下日","ē-ji̍t"
"下日","ē-li̍t"
"下水","hā-suí"
"下水湯","hā-suí-thng"
"下冬","ē-tang"
"下半暝","ē-puànn-mê"
"下半暝","ē-puànn-mî"
"下台","hā-tâi"
"下司","ē-si"
"下本","hē-pún"
"下令","hā-līng"
"下早仔","e-tsái-á"
"下旬","hā-sûn"
"下垂","hā-suî"
"下底","ē-té"
"下底","ē-tué"
"下性命","hē-sènn-miā"
"下性命","hē-sìnn-miā"
"下昏","e-hng"
"下昏暗","e-hng-àm"
"下沿","ē-iân"
"下林仔","Ē-nâ-á"
"下降","hā-kàng"
"下面","ē-bīn"
"下班","hā-pan"
"下埤頭","Ē-pi-thâu"
"下晝","ē-tàu"
"下晝頓","ē-tàu-tǹg"
"下晡","ē-poo"
"下鄉","hā-hiong"
"下場","hā-tiûnn"
"下港","ē-káng"
"下痟","hā-siau"
"下落","hē-lo̍h"
"下暗","e-àm"
"下跤","ē-kha"
"下跤手人","ē-kha-tshiú-lâng"
"下載","hā-tsài"
"下課","hā-khò"
"下輩","ē-puè"
"下頦","ē-hâi"
"下營區","Ē-iânn-khu"
"下擺","ē-pái"
"下顎","ē-kok"
"下願","hē-guān"
"下𦜆","ē-ham"
"个","ê"
"丸","uân"
"丸仔","uân-á"
"久","kiú"
"久","kú"
"久久","kú-kú"
"久仰","kiú-gióng"
"久年","kú-nî"
"久見","kiú-kiàn"
"久長","kú-tn̂g"
"久長病","kú-tn̂g-pēnn"
"久長病","kú-tn̂g-pīnn"
"久長病，無孝子。","Kú-tn̂g pēnn, bô hàu-tsú."
"久來","kú--lâi"
"么","io"
"之","tsi"
"之中","tsi-tiong"
"之外","tsi-guā"
"之間","tsi-kan"
"乞","khit"
"乞的","khit--ê"
"乞食","khit-tsia̍h"
"乞食下大願。","Khit-tsia̍h hē tuā guān."
"乞食也有三年好運。","Khit-tsia̍h iā ū sann nî hó-ūn."
"乞食身，皇帝喙。","Khit-tsia̍h sin, hông-tè tshuì."
"乞食命","khit-tsia̍h-miā"
"乞食琴","khit-tsia̍h-khîm"
"乞食趕廟公。","Khit-tsia̍h kuánn biō-kong."
"乞食頭","khit-tsia̍h-thâu"
"乞龜","khit-ku"
"也","iā"
"也好","iā hó"
"也是","iā sī"
"也著箠，也著糜。","Iā tio̍h tshuê, iā tio̍h muê."
"亡","bông"
"亡國","bông-kok"
"亡魂","bông-hûn"
"凡","huân"
"凡","huān"
"凡事","huân-sū"
"凡若","huān-nā"
"凡勢","huān-sè"
"千","tshian"
"千","tshing"
"千千萬萬","tshian-tshian-bān-bān"
"千斤秤","tshian-kin-tshìn"
"千斤秤","tshian-kun-tshìn"
"千古","tshian-kóo"
"千甲","Tshian-kah"
"千辛萬苦","tshian-sin-bān-khóo"
"千里眼","Tshian-lí-gán"
"千里鏡","tshian-lí-kiànn"
"千拄千","tshian-tú-tshian"
"千金","tshian-kim"
"千金買厝，萬金買厝邊。","Tshian-kim bé tshù, bān kim bé tshù-pinn."
"千金譜","Tshian-kim-phóo"
"千途萬途，毋值得翻田塗。","Tshian tôo bān tôo, m̄ ta̍t-tit huan tshân thôo."
"千萬","tshian-bān"
"千算萬算，毋值天一劃。","Tshian sǹg bān sǹg, m̄-ta̍t thinn tsi̍t ue̍h."
"叉","tshe"
"及","ki̍p"
"及時","ki̍p-sî"
"及格","ki̍p-keh"
"口","káu"
"口","kháu"
"口","khió"
"口才","kháu-tsâi"
"口白","kháu-pe̍h"
"口灶","kháu-tsàu"
"口供","kháu-king"
"口味","kháu-bī"
"口服","kháu-ho̍k"
"口面","kháu-bīn"
"口音","kháu-im"
"口座","kháu-tsō"
"口氣","kháu-khì"
"口湖鄉","Kháu-ôo-hiong"
"口琴","kháu-khîm"
"口號","kháu-hō"
"口試","kháu-tshì"
"口語","kháu-gí"
"口語","kháu-gú"
"口頭","kháu-thâu"
"口譯","kháu-i̍k"
"土","thóo"
"土人","thóo-lâng"
"土公仔","thóo-kong-á"
"土公仔性","thóo-kong-á-sìng"
"土木","thóo-bo̍k"
"土包仔","thóo-pau-á"
"土地","thóo-tē"
"土地","thóo-tuē"
"土地公","Thóo-tī-kong"
"土性","thóo-sìng"
"土直","thóo-ti̍t"
"土城","Thôo-siânn"
